temp,avg,max
body temp,78.1234,84
body temp,77.4585,84
body temp,75.4753,87
body temp,77.3701,92
body temp,70.9431,77
body temp,76.7718,89
body temp,71.0183,77
body temp,77.0373,89
body temp,71.1967,77
body temp,77.5331,91
body temp,71.2818,77
body temp,78.477,91
body temp,71.5082,79
body temp,79.385,92
body temp,80.002,93
body temp,81.9783,93
body temp,71.6911,78
body temp,82.8986,94
body temp,72.0856,79
body temp,83.7421,95
body temp,71.514,77
body temp,83.7894,94
body temp,71.0612,77
body temp,83.4077,93
body temp,70.892,77
body temp,84.1962,94
body temp,71.2899,78
body temp,84.2114,94
body temp,84.4244,94
body temp,84.431,94
body temp,83.8777,94
body temp,83.2947,93
body temp,83.4123,95
body temp,84.471,94
body temp,84.1633,93
body temp,84.5353,93
body temp,84.364,93
body temp,85.0154,94
body temp,84.5125,93
body temp,85.1975,93
body temp,85.2224,94
body temp,84.8392,94
body temp,84.8427,92
body temp,84.2456,92
body temp,84.6348,93
body temp,84.2718,92
body temp,84.5687,93
body temp,84.8764,94
body temp,84.2954,93
body temp,84.6355,93
body temp,84.1086,93
body temp,84.7652,93
body temp,84.9424,93
body temp,84.4866,93
body temp,84.0977,92
body temp,84.8831,92
body temp,84.8473,93
body temp,84.8049,93
body temp,84.5341,92
body temp,84.2739,92
body temp,84.4872,93
body temp,84.6649,93
body temp,84.6916,93
body temp,84.8213,92
body temp,85.0491,93
body temp,84.3432,93
body temp,84.9911,94
body temp,84.9233,93
body temp,84.8289,93
body temp,85.0097,93
body temp,84.6973,94
body temp,85.5542,93
body temp,85.6049,96
body temp,85.2157,94
body temp,85.1849,94
body temp,85.3267,94
body temp,85.4156,94
body temp,85.1394,94
body temp,85.8462,95
body temp,85.6242,94
body temp,85.2664,94
body temp,85.3688,94
body temp,85.4515,94
body temp,84.9608,95
body temp,85.7265,94
body temp,85.4741,95
body temp,85.4145,94
body temp,86.1638,95
body temp,85.2589,94
body temp,85.6408,94
body temp,85.9566,95
body temp,85.5212,94
body temp,85.6231,94
body temp,85.681,94
body temp,85.4876,96
body temp,85.6479,96
body temp,85.2845,94
body temp,84.8033,93
body temp,85.263,94
body temp,85.2392,93
body temp,85.3055,94
body temp,85.2616,93
body temp,84.6936,93
body temp,84.9628,95
body temp,85.0839,93
body temp,84.9008,94
body temp,84.8713,93
body temp,83.9908,92
body temp,84.7852,93
body temp,84.6385,93
body temp,84.7004,94
body temp,84.7245,93
body temp,84.7668,93
body temp,83.7278,93
body temp,84.4474,93
body temp,84.0942,92
body temp,83.7904,93
body temp,84.1126,92
body temp,84.4472,94
body temp,83.8542,92
body temp,84.2196,93
body temp,84.7538,93
body temp,84.788,94
body temp,84.7967,94
body temp,84.606,94
body temp,84.7879,95
body temp,84.6554,94
body temp,84.3473,94
body temp,84.848,94
body temp,85.3185,95
body temp,84.8351,93
body temp,85.1018,94
body temp,84.4034,94
body temp,85.089,95
body temp,85.0053,95
body temp,84.5134,94
body temp,85.0031,94
body temp,84.8375,94
body temp,84.9953,94
body temp,84.7111,94
body temp,84.1959,93
body temp,84.8844,94
body temp,84.7727,94
body temp,84.6503,93
body temp,84.8669,94
body temp,84.8342,94
body temp,84.7568,94
body temp,84.6818,94
body temp,84.1814,93
body temp,83.5066,93
body temp,83.7488,92
body temp,83.4504,94
body temp,83.0068,92
body temp,82.9358,92
body temp,82.5964,92
body temp,82.7148,92
body temp,82.0275,91
body temp,82.4141,93
body temp,82.4051,92
body temp,82.8995,92
body temp,82.9434,92
body temp,82.9289,92
body temp,83.1012,94
body temp,82.9294,92
body temp,82.5997,93
body temp,82.6133,92
body temp,82.2832,91
body temp,82.4068,91
body temp,82.4684,91
body temp,81.3283,91
body temp,82.5017,91
body temp,82.4996,92
body temp,82.2684,91
body temp,82.3794,91
body temp,82.5505,92
body temp,83.1167,93
body temp,84.0184,94
body temp,83.7636,94
body temp,83.6917,93
body temp,84.076,93
body temp,85.0306,94
body temp,84.9901,94
body temp,84.8462,95
body temp,84.7412,95
body temp,84.8485,94
body temp,84.3804,93
body temp,84.5957,95
body temp,84.2855,94
body temp,84.7816,94
body temp,83.916,94
body temp,84.2793,93
body temp,84.203,93
body temp,83.8875,93
body temp,84.1486,93
body temp,84.2303,93
body temp,84.047,94
body temp,83.1492,93
body temp,84.0484,95
body temp,83.7706,93
body temp,83.6932,92
body temp,84.2715,94
body temp,83.8846,94
body temp,83.4139,92
body temp,83.5705,93
body temp,83.4244,93
body temp,83.07,92
body temp,83.5047,93
body temp,83.6292,92
body temp,83.633,93
body temp,83.2947,93
body temp,83.5107,92
body temp,82.8605,93
body temp,83.5327,93
body temp,83.4588,93
body temp,83.7772,93
body temp,83.3717,93
body temp,83.0758,93
body temp,83.7835,93
body temp,83.4877,92
body temp,83.1227,92
body temp,83.7131,93
body temp,83.5898,92
body temp,83.808,94
body temp,83.3446,92
body temp,83.295,93
body temp,83.0457,92
body temp,83.0568,92
body temp,83.169,93
body temp,82.8954,94
body temp,82.2071,94
body temp,81.6702,93
body temp,81.96,95
body temp,81.8883,93
body temp,81.6798,93
body temp,81.3762,94
body temp,81.9499,96
body temp,83.1405,97
body temp,82.9112,97
body temp,83.1669,96
body temp,82.488,96
body temp,82.9643,98
body temp,82.7615,97
body temp,83.1093,98
body temp,83.2356,99
body temp,70.7691,78
body temp,83.3873,99
body temp,71.7669,78
body temp,82.8919,98
body temp,70.7962,78
body temp,82.6063,99
body temp,71.0501,78
body temp,82.6309,98
body temp,70.5868,78
body temp,82.5732,98
body temp,71.3395,78
body temp,82.4921,97
body temp,72.0542,79
body temp,82.1345,96
body temp,72.4422,79
body temp,82.3404,94
body temp,81.7743,90
body temp,82.0335,92
body temp,82.0656,94
body temp,83.1908,94
body temp,83.9149,96
body temp,84.4517,96
body temp,83.5964,95
body temp,62.6513,68
body temp,84.6396,96
body temp,84.1826,97
body temp,84.4033,95
body temp,83.5363,94
body temp,83.3829,95
body temp,82.3377,95
body temp,82.3889,97
body temp,81.8637,95
body temp,82.2474,94
body temp,70.8183,78
body temp,82.4509,95
body temp,70.7507,79
body temp,82.7122,95
body temp,71.1468,79
body temp,82.3875,96
body temp,70.7745,79
body temp,82.1521,95
body temp,70.994,79
body temp,82.1175,97
body temp,70.9094,79
body temp,82.4212,96
body temp,70.9892,80
body temp,82.3692,96
body temp,83.1282,99
body temp,82.1601,96
body temp,82.7273,97
body temp,82.4792,98
body temp,82.3078,96
body temp,81.9738,96
body temp,82.4254,96
body temp,82.3042,96
body temp,82.2752,96
body temp,82.3585,96
body temp,82.8496,97
body temp,82.6999,95
body temp,82.1166,96
body temp,82.4652,96
body temp,82.2409,96
body temp,82.5541,96
body temp,82.1489,95
body temp,82.1947,97
body temp,82.335,96
body temp,82.9799,97
body temp,82.8783,97
body temp,82.1299,97
body temp,82.2802,97
body temp,82.5879,97
body temp,82.6614,96
body temp,82.4125,96
body temp,81.8162,97
body temp,82.7937,96
body temp,82.4771,98
body temp,82.8154,97
body temp,82.9748,97
body temp,82.1375,97
body temp,82.1911,97
body temp,82.8692,96
body temp,82.7119,96
body temp,82.4663,98
body temp,82.4618,98
body temp,82.5982,97
body temp,82.5673,97
body temp,82.2101,99
body temp,82.0279,97
body temp,82.0815,99
body temp,82.1707,97
body temp,82.0312,98
body temp,82.6538,98
body temp,83.0422,98
body temp,82.9335,98
body temp,82.8547,97
body temp,83.0048,97
body temp,82.8814,98
body temp,83.4053,99
body temp,83.4928,98
body temp,82.72,97
body temp,82.7503,99
body temp,82.9917,99
body temp,83.6304,98
body temp,83.6642,99
body temp,83.5365,100
body temp,83.3854,100
body temp,83.2617,99
body temp,83.3618,99
body temp,83.2113,98
body temp,83.1621,99
body temp,83.612,101
body temp,83.9372,101
body temp,83.428,99
body temp,83.4984,100
body temp,83.4344,101
body temp,83.3436,100
body temp,83.316,100
body temp,83.6822,99
body temp,83.1053,99
body temp,83.4567,101
body temp,83.349,99
body temp,83.8038,99
body temp,83.2622,100
body temp,83.0669,99
body temp,83.4073,100
body temp,83.3382,100
body temp,83.4821,101
body temp,83.8189,98
body temp,83.4948,99
body temp,83.1529,98
body temp,82.8499,99
body temp,83.2937,99
body temp,83.6447,101
body temp,83.208,99
body temp,83.3496,100
body temp,83.678,99
body temp,84.354,100
body temp,83.7656,99
body temp,84.565,99
body temp,84.6541,100
body temp,84.8188,100
body temp,84.9922,101
body temp,84.7205,101
body temp,85.1664,100
body temp,84.5207,99
body temp,84.4103,100
body temp,83.9372,101
body temp,84.2311,100
body temp,83.9322,100
body temp,83.9005,98
body temp,84.4985,99
body temp,85.2934,97
body temp,85.5626,98
body temp,85.2293,98
body temp,84.4647,98
body temp,83.0414,96
body temp,81.2702,94
body temp,80.7099,94
body temp,82.0614,100
body temp,69.2235,75
body temp,81.6627,97
body temp,69.3494,74
body temp,82.1619,97
body temp,69.3263,74
body temp,82.0757,97
body temp,68.917,74
body temp,81.5044,98
body temp,68.9531,74
body temp,82.3757,98
body temp,68.8833,74
body temp,82.7828,97
body temp,69.0096,73
body temp,83.2057,97
body temp,68.8704,74
body temp,84.0138,98
body temp,69.1651,74
body temp,84.13,100
body temp,68.8827,74
body temp,84.9361,97
body temp,69.2254,74
body temp,85.3964,96
body temp,69.4464,74
body temp,84.8083,95
body temp,69.2441,76
body temp,83.7895,92
body temp,69.3535,77
body temp,83.2304,92
body temp,71.6092,80
body temp,80.7514,92
body temp,80.4388,92
body temp,80.8792,92
body temp,81.4993,92
body temp,82.5543,96
body temp,82.7484,96
body temp,82.4641,97
body temp,82.0391,98
body temp,81.9737,96
body temp,81.2782,96
body temp,81.2793,92
body temp,71.2414,80
body temp,82.204,93
body temp,82.5213,95
body temp,71.333,80
body temp,82.2063,94
body temp,70.706,80
body temp,82.2745,94
body temp,70.7818,79
body temp,82.2337,93
body temp,70.1643,79
body temp,82.7572,95
body temp,70.6646,79
body temp,82.8495,95
body temp,70.4485,78
body temp,82.7749,95
body temp,69.7641,77
body temp,82.4265,94
body temp,69.7895,77
body temp,82.5531,94
body temp,69.7594,77
body temp,82.3486,93
body temp,69.6927,77
body temp,82.2545,92
body temp,69.6196,77
body temp,81.6147,90
body temp,69.5552,77
body temp,82.0744,92
body temp,69.1078,77
body temp,81.9021,93
body temp,69.5478,77
body temp,81.2674,93
body temp,69.4377,77
body temp,81.5904,93
body temp,70.0449,77
body temp,81.7961,93
body temp,70.0174,78
body temp,81.3068,92
body temp,70.7332,79
body temp,81.1566,92
body temp,70.4776,78
body temp,81.4867,92
body temp,70.4486,79
body temp,81.6567,94
body temp,71.1514,80
body temp,81.6491,94
body temp,70.6052,79
body temp,82.1976,96
body temp,82.1192,96
body temp,82.4641,95
body temp,82.6441,93
body temp,82.7578,95
body temp,81.3602,92
body temp,80.8154,90
body temp,69.4943,77
body temp,80.72,90
body temp,69.2963,80
body temp,80.3445,91
body temp,69.2855,80
body temp,80.3212,89
body temp,69.8719,80
body temp,80.855,90
body temp,69.568,80
body temp,80.6654,90
body temp,69.8688,80
body temp,81.0629,90
body temp,69.7826,80
body temp,80.7372,91
body temp,69.4951,80
body temp,80.2918,89
body temp,69.7918,79
body temp,80.8807,91
body temp,80.7203,91
body temp,80.8991,90
body temp,80.7561,91
body temp,80.4999,91
body temp,80.9935,92
body temp,80.2969,91
body temp,80.5946,91
body temp,80.5252,90
body temp,80.4766,91
body temp,80.6914,91
body temp,80.3065,89
body temp,80.0334,89
body temp,80.18,89
body temp,70.0724,80
body temp,79.4666,89
body temp,69.9328,80
body temp,79.3575,89
body temp,70.2135,80
body temp,78.939,89
body temp,69.6317,80
body temp,78.6442,89
body temp,68.1537,77
body temp,78.7791,89
body temp,68.5253,77
body temp,78.6152,88
body temp,68.7378,77
body temp,79.064,89
body temp,69.1787,80
body temp,78.7011,89
body temp,70.1189,80
body temp,78.9526,88
body temp,69.0676,79
body temp,79.4734,89
body temp,69.4912,77
body temp,79.2892,89
body temp,69.3939,78
body temp,79.2774,88
body temp,70.1521,79
body temp,79.7113,89
body temp,69.7819,78
body temp,79.7479,90
body temp,69.6862,78
body temp,79.9158,89
body temp,70.2559,78
body temp,79.117,89
body temp,70.0371,78
body temp,79.7349,90
body temp,79.6584,91
body temp,79.7807,90
body temp,80.1872,90
body temp,79.9793,90
body temp,80.6633,90
body temp,80.5019,90
body temp,81.1197,91
body temp,81.8546,91
body temp,82.0593,93
body temp,69.5444,78
body temp,82.2268,95
body temp,69.4465,79
body temp,81.3407,95
body temp,69.7575,78
body temp,80.7376,97
body temp,69.2806,76
body temp,81.2082,96
body temp,69.2632,77
body temp,82.011,96
body temp,69.4247,78
body temp,81.3713,96
body temp,69.8916,79
body temp,81.3592,96
body temp,69.7853,80
body temp,80.7091,93
body temp,80.221,91
body temp,80.5244,93
body temp,80.6133,92
body temp,80.1467,91
body temp,79.469,88
body temp,80.8498,94
body temp,80.9541,95
body temp,81.2589,95
body temp,80.6766,96
body temp,80.6058,96
body temp,80.6475,94
body temp,80.5239,94
body temp,80.6,94
body temp,79.635,94
body temp,79.3167,94
body temp,79.683,93
body temp,79.4534,92
body temp,79.1331,93
body temp,79.1753,92
body temp,79.767,92
body temp,80.1715,92
body temp,79.6587,92
body temp,79.8344,92
body temp,80.0344,94
body temp,80.1199,95
body temp,79.9827,92
body temp,79.9222,93
body temp,80.0081,94
body temp,80.3347,93
body temp,80.3331,93
body temp,80.3223,93
body temp,80.0733,94
body temp,80.4366,93
body temp,80.3308,94
body temp,80.4258,95
body temp,80.3447,95
body temp,80.5749,93
body temp,80.4641,94
body temp,80.6225,93
body temp,80.4523,93
body temp,80.6204,95
body temp,80.6301,93
body temp,80.6039,95
body temp,80.403,94
body temp,80.9743,94
body temp,80.7569,94
body temp,80.4707,93
body temp,80.9409,94
body temp,80.9159,94
body temp,80.805,94
body temp,80.808,94
body temp,80.8025,93
body temp,80.6695,95
body temp,81.0281,94
body temp,80.9255,94
body temp,81.1178,95
body temp,81.5021,95
body temp,80.9703,95
body temp,81.0155,94
body temp,81.109,95
body temp,81.2538,95
body temp,78.2189,90
body temp,66.7143,80
body temp,78.0289,90
body temp,64.3206,71
body temp,64.2346,70
body temp,77.6043,88
body temp,64.2054,69
body temp,75.5058,82
body temp,65.5253,71
body temp,73.5733,81
body temp,65.669,70
body temp,76.1819,84
body temp,77.7032,85
body temp,65.9312,71
body temp,78.5894,90
body temp,65.1178,71
body temp,80.5369,96
body temp,66.619,72
body temp,82.1681,97
body temp,69.0193,77
body temp,81.4194,89
body temp,62.8864,70
body temp,63.9089,70
body temp,80.9404,88
body temp,64.6394,70
body temp,80.4586,87
body temp,64.0853,71
body temp,80.2986,87
body temp,64.622,77
body temp,80.9038,88
body temp,64.4931,77
body temp,81.3286,89
body temp,64.4994,80
body temp,81.5061,88
body temp,64.1711,79
body temp,82.1986,88
body temp,64.2223,80
body temp,81.6806,86
body temp,64.3538,79
body temp,82.7904,89
body temp,63.7614,80
body temp,81.5889,89
body temp,63.3881,77
body temp,79.1626,87
body temp,62.4024,70
body temp,79.0357,85
body temp,60.0942,69
body temp,64.5349,73
