reading from ../data/room14.txt
0 T 27.0625
1 T 27
2 T 27
3 T 27
4 T 27
5 T 27
6 T 27
7 T 27
8 T 27
9 T 27
10 T 27
11 T 27
12 T 27
13 T 26.9375
14 T 27
15 T 27
16 T 27.0625
17 T 27
18 T 27
19 T 26.9375
20 T 27
21 T 26.9375
22 T 27
23 T 27
24 T 27
25 T 26.9375
26 T 27
27 T 27
28 T 27
29 T 26.9375
30 T 27
31 T 27
32 T 27
33 T 27
34 T 26.9375
35 T 27
36 T 26.9375
37 T 27
38 T 27
39 T 27
40 T 27
41 T 27.0625
42 T 27
43 T 27
44 T 27
45 T 27
46 T 27
47 T 26.9375
48 T 27
49 T 27
50 T 27
51 T 26.9375
52 T 27
53 T 26.9375
54 T 27
55 T 27
56 T 26.9375
57 T 26.9375
58 T 26.9375
59 T 27
60 T 27
61 T 27
62 T 27
63 T 27
64 T 27
65 T 27
66 T 27
67 T 27
68 T 26.9375
69 T 27
70 T 27
71 T 27
72 T 27
73 T 27
74 T 26.9375
75 T 26.9375
76 T 26.9375
77 T 27
78 T 27
79 T 27
80 T 26.9375
81 T 27
82 T 27
83 T 27
84 T 26.9375
85 T 27
86 T 26.9375
87 T 27
88 T 26.9375
89 T 26.9375
90 T 27
91 T 27
92 T 27
93 T 27
94 T 27
95 T 26.9375
96 T 26.9375
97 T 26.9375
98 T 26.9375
99 T 27
100 T 26.9375
101 T 26.9375
102 T 26.9375
103 T 27
104 T 27
105 T 27
106 T 26.9375
107 T 26.9375
108 T 26.9375
109 T 26.9375
110 T 26.9375
111 T 26.9375
112 T 26.9375
113 T 26.9375
114 T 27
115 T 26.9375
116 T 26.9375
117 T 27
118 T 26.9375
119 T 27
120 T 27
121 T 27
122 T 26.9375
123 T 27
124 T 26.9375
125 T 27
126 T 27
127 T 26.9375
128 T 27
129 T 26.9375
130 T 27
131 T 26.9375
132 T 27
133 T 27
134 T 26.9375
135 T 26.9375
136 T 26.9375
137 T 27
138 T 26.9375
139 T 26.9375
140 T 26.9375
141 T 26.9375
142 T 26.9375
143 T 27
144 T 26.9375
145 T 26.9375
146 T 26.9375
147 T 26.9375
148 T 26.9375
149 T 26.9375
150 T 26.9375
151 T 26.9375
152 T 26.9375
153 T 26.9375
154 T 26.9375
155 T 26.9375
156 T 26.9375
157 T 27
158 T 26.9375
159 T 26.9375
160 T 26.9375
161 T 26.9375
162 T 26.9375
163 T 26.9375
164 T 26.9375
165 T 26.9375
166 T 26.9375
167 T 26.9375
168 T 26.9375
169 T 26.9375
170 T 26.9375
171 T 26.9375
172 T 26.9375
173 T 26.9375
174 T 26.9375
175 T 26.9375
176 T 26.9375
177 T 26.9375
178 T 27
179 T 26.9375
180 T 26.9375
181 T 27
182 T 26.9375
183 T 26.9375
184 T 26.9375
185 T 26.9375
186 T 26.9375
187 T 26.9375
188 T 26.9375
189 T 26.9375
190 T 26.9375
191 T 26.9375
192 T 26.9375
193 T 27
194 T 26.9375
195 T 26.9375
196 T 26.9375
197 T 26.9375
198 T 26.9375
199 T 26.9375
200 T 26.9375
201 T 26.9375
202 T 26.9375
203 T 27
204 T 26.9375
205 T 27
206 T 26.9375
207 T 26.9375
208 T 26.9375
209 T 26.9375
210 T 27
211 T 27
212 T 26.9375
213 T 26.9375
214 T 26.9375
215 T 26.9375
216 T 27
217 T 26.9375
218 T 26.9375
219 T 27
220 T 27
221 T 26.9375
222 T 27
223 T 27
224 T 26.9375
225 T 27
226 T 26.9375
227 T 26.9375
228 T 26.9375
229 T 26.9375
230 T 26.9375
231 T 26.9375
232 T 27
233 T 26.9375
234 T 26.9375
235 T 27
236 T 26.9375
237 T 27
238 T 27
239 T 26.9375
240 T 27
241 T 26.9375
242 T 27
243 T 27
244 T 26.9375
245 T 26.9375
246 T 26.9375
247 T 26.9375
248 T 27
249 T 26.9375
250 T 27
251 T 27
252 T 26.9375
253 T 26.9375
254 T 26.9375
255 T 26.9375
256 T 27
257 T 27
258 T 26.9375
259 T 26.9375
260 T 27
261 T 26.9375
262 T 27
263 T 26.9375
264 T 26.9375
265 T 27
266 T 26.9375
267 T 27
268 T 27
269 T 27
270 T 27
271 T 26.9375
272 T 27
273 T 26.9375
